season,name,profile,team,total_raids,total_tackle,raid_percent_overall,tackle_percent_overall,matches_played,total_points,success_raids,raid_points,success_tackles,tackle_points,avg_raid_points,avg_tackle_points,dod_raid_points,super_raids,super_tackles,super_10s,high_5s,success_raid_percent,success_tackle_percent
6,Aashish Nagar,"Defender, right corner",up-yoddha,0,4,0,25,3,1,0,0,1,1,0,0,0,0,0,0,0,,
6,Abhishek Singh,Raider,u-mumba,117,19,44.15,22.58,15,53,38,47,6,6,3.13,0.4,18,1,0,2,0,,
7,Abhishek Singh,Raider,u-mumba,234,12,44.15,22.58,16,109,93,108,1,1,6.75,0.06,32,2,0,6,0,,
4,Abolfazl Maghsodloumahali,Raider,patna-pirates,37,1,40.44,36.36,9,25,18,25,0,0,2.78,0,9,2,0,0,0,,
5,Abolfazl Maghsodloumahali,Raider,dabang-delhi-kc,230,14,40.44,36.36,19,97,77,91,5,6,4.79,0.32,26,0,1,0,0,,
6,Abolfazl Maghsodloumahali,Raider,u-mumba,77,7,40.44,36.36,10,25,19,23,2,2,2.3,0.2,5,2,0,0,0,,
7,Abolfazl Maghsodloumahali,Raider,gujarat-fortunegiants,10,0,40.44,36.36,6,5,3,5,0,0,1,0,1,0,0,0,0,,
5,Abozar Mohajermighani,Defender,gujarat-fortunegiants,6,116,5.26,53.15,24,66,0,1,63,65,0.17,2.71,0,0,2,0,2,,
6,Abozar Mohajermighani,Defender,telugu-titans,26,98,5.26,53.15,21,56,0,0,48,56,0,2.67,0,0,8,0,4,,
7,Abozar Mohajermighani,Defender,telugu-titans,6,87,5.26,53.15,18,40,0,1,36,39,0.2,2.17,0,0,3,0,1,,
6,Adarsh T,"Defender, left corner",bengal-warriors,1,23,200,46.87,10,14,1,2,9,12,0,1.2,0,0,3,0,0,,
7,Adarsh T,"Defender, left corner",bengal-warriors,0,9,200,46.87,9,3,0,0,3,3,0,0.33,0,0,0,0,0,,
2,Adinath Sakharam Gavali,"Defender, right and left cover",bengaluru-bulls,0,6,0,16.66,1,1,0,0,1,1,0,1,0,0,0,0,0,,
6,Ajay,Defender,bengaluru-bulls,0,0,0,0,7,4,0,0,4,4,0,0.57,0,0,0,0,0,,
7,Ajay,Defender,bengaluru-bulls,0,0,0,0,9,4,1,2,2,2,0,0.22,0,0,0,0,0,,
4,Ajay Kumar,Raider,jaipur-pink-panthers,107,7,40.26,6.25,15,61,44,61,0,0,4.36,0,36,1,0,2,0,,
5,Ajay Kumar,Raider,bengaluru-bulls,257,4,40.26,6.25,22,89,70,89,0,0,4.05,0,39,2,0,2,0,,
6,Ajay Kumar,Raider,gujarat-fortunegiants,88,5,40.26,6.25,13,33,23,32,1,1,2.67,0,4,1,0,0,0,,
4,Ajay Singh,"Defender, left corner",bengaluru-bulls,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,,
1,Ajay Thakur,Raider,bengaluru-bulls,228,18,46.82,25.6,15,127,96,122,5,5,8.13,0.33,8,2,0,5,0,,
2,Ajay Thakur,Raider,bengaluru-bulls,190,6,46.82,25.6,13,80,56,79,1,1,6.08,0.08,34,6,0,2,0,,
3,Ajay Thakur,Raider,puneri-paltan,148,9,46.82,25.6,14,56,41,52,4,4,3.71,0.29,24,2,0,1,0,,
4,Ajay Thakur,Raider,puneri-paltan,155,8,46.82,25.6,16,64,41,63,1,1,3.94,0.06,26,5,0,1,0,,
5,Ajay Thakur,Raider,tamil-thalaivas,407,25,46.82,25.6,22,222,182,213,9,9,9.68,0.41,30,3,0,12,0,,
6,Ajay Thakur,Raider,tamil-thalaivas,388,11,46.82,25.6,22,204,177,203,1,1,9.23,0.05,33,3,0,7,0,,
7,Ajay Thakur,Raider,tamil-thalaivas,177,5,46.82,25.6,13,58,47,58,0,0,4.46,0,8,2,0,1,0,,
7,Ajeet,"Defender, right cover",tamil-thalaivas,0,51,0,27.45,14,14,0,0,13,14,0,1,0,0,1,0,0,,
6,Ajinkya Ashok Pawar,Raider,jaipur-pink-panthers,163,13,39.3,26.66,17,75,57,71,3,4,4.18,0.24,21,1,1,0,0,,
7,Ajinkya Ashok Pawar,Raider,jaipur-pink-panthers,66,2,39.3,26.66,14,19,16,19,0,0,1.46,0,8,0,0,0,0,,
7,Ajinkya Rohidas Kapre,All Rounder,u-mumba,5,1,20,0,2,1,1,1,0,0,0,0,0,0,0,0,0,,
5,Ajit Singh,Raider,jaipur-pink-panthers,57,2,42.2,0,11,23,17,23,0,0,2.09,0,7,1,0,0,0,,
6,Ajit Singh,Raider,jaipur-pink-panthers,19,2,42.2,0,6,9,7,9,0,0,1.5,0,2,0,0,0,0,,
5,Ajvender Singh,Raider,up-yoddha,1,3,0,33.33,2,1,0,0,1,1,0,0,0,0,0,0,0,,
5,Akshay Jadhav,Raider,puneri-paltan,39,17,25.17,58.13,10,21,9,9,10,12,0.9,1.2,4,0,2,0,1,,
6,Akshay Jadhav,Raider,puneri-paltan,108,26,25.17,58.13,18,41,25,28,12,13,1.56,0.72,5,1,1,0,1,,
7,Aman,"Defender, left corner",bengaluru-bulls,0,4,0,25,2,1,0,0,1,1,0,0,0,0,0,0,0,,
7,Aman Kadian,Raider,dabang-delhi-kc,3,0,33.33,50,3,4,2,3,1,1,1,0,0,0,0,0,0,,
2,Aman Kumar,"Defender, left cover",patna-pirates,6,2,33.33,50,4,2,0,0,2,2,0,0.5,0,0,0,0,0,,
6,Amit,"Defender, left cover",up-yoddha,0,31,14.28,30.52,14,6,0,0,5,6,0,0.43,0,0,1,0,0,,
7,Amit,"Defender, left cover",up-yoddha,14,64,14.28,30.52,18,25,1,2,21,23,0.33,1.28,0,0,2,0,0,,
2,Amit Hooda,"Defender, right corner",patna-pirates,35,41,18.51,53.38,12,26,4,5,20,21,0.45,1.75,1,0,1,0,0,,
3,Amit Hooda,"Defender, right corner",patna-pirates,4,27,18.51,53.38,4,11,0,0,11,11,0,2.75,0,0,0,0,0,,
4,Amit Hooda,"Defender, right corner",jaipur-pink-panthers,2,89,18.51,53.38,16,53,0,2,47,51,0,3.19,0,0,4,0,3,,
5,Amit Hooda,"Defender, right corner",tamil-thalaivas,7,117,18.51,53.38,22,61,0,0,55,61,0,2.77,0,0,6,0,2,,
6,Amit Hooda,"Defender, right corner",tamil-thalaivas,2,85,18.51,53.38,18,51,0,2,45,49,0,2.72,0,0,4,0,4,,
7,Amit Hooda,"Defender, right corner",jaipur-pink-panthers,4,70,18.51,53.38,14,37,0,1,33,36,0,2.57,0,0,3,0,2,,
6,Amit Kharb,"Defender, right cover",gujarat-fortunegiants,0,8,0,31.25,6,2,0,0,1,2,0,0.33,0,0,1,0,0,,
7,Amit Kharb,"Defender, right cover",gujarat-fortunegiants,0,8,0,31.25,5,1,0,0,1,1,0,0,0,0,0,0,0,,
2,Amit Kumar,All Rounder,puneri-paltan,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,
6,Amit Kumar,Raider,jaipur-pink-panthers,35,59,34.28,35.59,17,33,10,12,20,21,1.09,1.24,5,1,1,0,1,,
6,Amit Kumar,Raider,puneri-paltan,29,3,27.47,45.45,6,8,4,8,0,0,1.6,0,6,1,0,0,0,,
6,Amit Kumar,Raider,bengal-warriors,7,8,7.4,44.82,2,4,1,1,3,3,0.5,1.5,1,0,0,0,0,,
7,Amit Kumar,Raider,puneri-paltan,62,41,27.47,45.45,13,37,12,17,19,20,1.42,1.54,8,0,1,0,0,,
7,Amit Kumar,All Rounder,puneri-paltan,33,2,48.48,100,6,18,9,16,1,2,2.67,0,4,0,1,0,0,,
7,Amit Kumar,Raider,telugu-titans,47,21,7.4,44.82,9,13,2,3,8,10,0.33,1.11,2,0,2,0,0,,
7,Amit Kumar,All Rounder,patna-pirates,8,1,62.5,0,3,5,3,5,0,0,1.67,0,0,1,0,0,0,,
2,Amit Kumar Tomar,Raider,dabang-delhi-kc,0,0,0,0,9,8,3,6,2,2,0.67,0.22,1,0,0,0,0,,
4,Amit Nagar,Raider,jaipur-pink-panthers,6,0,40.47,37.5,3,2,1,2,0,0,0.67,0,0,0,0,0,0,,
6,Amit Nagar,Raider,bengal-warriors,36,16,40.47,37.5,9,21,13,15,6,6,1.88,0.67,4,0,0,0,0,,
2,Amit Om Prakash Rathi,Raider,puneri-paltan,26,2,30,33.33,5,12,9,12,0,0,2.4,0,3,0,0,0,0,,
3,Amit Om Prakash Rathi,Raider,bengaluru-bulls,66,10,30,33.33,8,36,21,30,4,6,3.75,0.75,11,1,2,0,0,,
4,Amit Om Prakash Rathi,Raider,bengaluru-bulls,15,0,30,33.33,2,4,3,4,0,0,2,0,3,0,0,0,0,,
6,Amit Sheoran,Defender,bengaluru-bulls,0,71,0,50.62,15,38,0,0,36,38,0,2.53,0,0,2,0,2,,
7,Amit Sheoran,Defender,bengaluru-bulls,1,83,0,50.62,19,43,0,0,40,43,0,2.26,0,0,3,0,3,,
1,Amit Singh Chhillar,"Defender, left corner",dabang-delhi-kc,4,81,16.66,38.31,14,30,1,1,26,29,0,2.07,0,0,3,0,1,,
2,Amit Singh Chhillar,"Defender, left corner",dabang-delhi-kc,1,21,16.66,38.31,6,12,0,0,11,12,0,2,0,0,1,0,1,,
3,Amit Singh Chhillar,"Defender, left corner",dabang-delhi-kc,0,17,16.66,38.31,5,5,0,0,5,5,0,1,0,0,0,0,0,,
4,Amit Singh Chhillar,"Defender, left corner",bengal-warriors,1,34,16.66,38.31,9,13,0,0,13,13,0,1.44,0,0,0,0,0,,
6,Anand,Raider,tamil-thalaivas,17,0,46.66,0,3,8,7,8,0,0,2.67,0,3,0,0,0,0,,
7,Anand,Raider,tamil-thalaivas,13,3,46.66,0,5,6,3,6,0,0,1.2,0,3,1,0,0,0,,
5,Anand Patil,Raider,dabang-delhi-kc,102,6,29.87,0,19,33,24,33,0,0,1.83,0,7,2,0,0,0,,
6,Anand Patil,Raider,jaipur-pink-panthers,52,2,29.87,0,7,13,9,13,0,0,1.86,0,5,1,0,0,0,,
6,Anand Surendra Tomar,Raider,haryana-steelers,20,4,40,25,5,9,7,8,1,1,1.6,0,2,0,0,0,0,,
6,Anand V,Raider,bengaluru-bulls,15,1,20,0,3,3,3,3,0,0,1,0,3,0,0,0,0,,
3,Anil Kashinath Patil,All Rounder,jaipur-pink-panthers,,,,,5,8,6,8,0,0,1.6,0,6,0,0,0,0,,
3,Anil Kumar,"Defender, left cover",dabang-delhi-kc,,,,,11,21,2,2,19,19,0.33,1.73,1,0,0,0,0,,
4,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,9,16,1,1,11,15,0.33,1.67,1,0,4,0,0,,
4,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,9,16,1,1,11,15,0.33,0.5,1,0,4,0,0,,
4,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,9,16,1,1,11,2,0.33,1.67,1,0,4,0,0,,
4,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,9,16,1,1,11,2,0.33,0.5,1,0,4,0,0,,
4,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,9,16,1,1,2,15,0.33,1.67,1,0,4,0,0,,
4,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,9,16,1,1,2,15,0.33,0.5,1,0,4,0,0,,
4,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,9,16,1,1,2,2,0.33,1.67,1,0,4,0,0,,
4,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,9,16,1,1,2,2,0.33,0.5,1,0,4,0,0,,
4,Anil Kumar,"Defender, left cover",patna-pirates,,,,,4,2,1,1,11,15,0.33,1.67,1,0,4,0,0,,
4,Anil Kumar,"Defender, left cover",patna-pirates,,,,,4,2,1,1,11,15,0.33,0.5,1,0,4,0,0,,
4,Anil Kumar,"Defender, left cover",patna-pirates,,,,,4,2,1,1,11,2,0.33,1.67,1,0,4,0,0,,
4,Anil Kumar,"Defender, left cover",patna-pirates,,,,,4,2,1,1,11,2,0.33,0.5,1,0,4,0,0,,
4,Anil Kumar,"Defender, left cover",patna-pirates,,,,,4,2,1,1,2,15,0.33,1.67,1,0,4,0,0,,
4,Anil Kumar,"Defender, left cover",patna-pirates,,,,,4,2,1,1,2,15,0.33,0.5,1,0,4,0,0,,
4,Anil Kumar,"Defender, left cover",patna-pirates,,,,,4,2,1,1,2,2,0.33,1.67,1,0,4,0,0,,
4,Anil Kumar,"Defender, left cover",patna-pirates,,,,,4,2,1,1,2,2,0.33,0.5,1,0,4,0,0,,
5,Anil Kumar,"Defender, left corner",tamil-thalaivas,,,,,5,2,0,0,2,2,0,0.4,0,0,0,0,0,,
5,Anil Kumar,Raider,bengal-warriors,,,,,2,1,0,1,0,0,0,0,0,0,0,0,0,,
5,Anil Kumar,"Defender, left cover",tamil-thalaivas,,,,,5,1,0,0,1,1,0,0,0,0,0,0,0,,
6,Anil Kumar,"Defender, left cover",telugu-titans,,,,,18,30,0,1,25,29,0.17,1.61,0,0,4,0,0,,
6,Anil Kumar,Raider,tamil-thalaivas,,,,,4,8,0,0,8,8,0,2,0,0,0,0,1,,
6,Anil Kumar,"Defender, left corner",dabang-delhi-kc,,,,,5,7,0,0,6,7,0,1.4,0,0,1,0,0,,
7,Anil Kumar,"Defender, left cover",dabang-delhi-kc,,,,,15,27,0,0,26,27,0,1.8,0,0,1,0,0,,
3,Anil Shriram Nimbolkar,Raider,dabang-delhi-kc,,,,,6,19,9,15,2,4,2.5,0.67,4,1,2,1,0,,
6,Ankit,Defender,bengaluru-bulls,,,,,6,3,0,0,3,3,0,0.5,0,0,0,0,0,,
7,Ankit,"Defender, right corner",gujarat-fortunegiants,,,,,12,13,0,0,11,13,0,1.08,0,0,2,0,0,,
7,Ankit,Defender,bengaluru-bulls,,,,,7,6,0,0,5,6,0,0.86,0,0,1,0,0,,
7,Ankit Beniwal,Raider,telugu-titans,,,,,6,8,5,7,1,1,1.17,0,0,0,0,0,0,,
7,Ankush,Raider,up-yoddha,,,,,3,7,4,6,1,1,2,0,2,0,0,0,0,,
2,Anoop E.V.,Raider,u-mumba,,,,,2,2,0,0,2,2,0,1,0,0,0,0,0,,
6,Anuj Kumar,"Defender, right cover",telugu-titans,,,,,7,6,1,1,4,5,0,0.71,0,0,1,0,0,,
1,Anup Kumar,Raider,u-mumba,,,,,16,169,123,155,12,14,9.69,0.88,13,8,2,10,0,,
2,Anup Kumar,Raider,u-mumba,,,,,14,81,61,74,6,7,5.29,0.5,8,1,1,1,0,,
3,Anup Kumar,Raider,u-mumba,,,,,13,79,63,76,3,3,5.85,0.23,3,3,0,0,0,,
4,Anup Kumar,Raider,u-mumba,,,,,14,82,60,72,9,10,5.14,0.71,3,1,1,0,0,,
5,Anup Kumar,Raider,u-mumba,,,,,21,135,84,112,19,23,5.33,1.1,5,2,4,2,0,,
6,Anup Kumar,Raider,jaipur-pink-panthers,,,,,13,50,30,38,12,12,2.92,0.92,1,2,0,0,0,,
6,Arjun Deshwal,Raider,u-mumba,,,,,3,4,3,4,0,0,1.33,0,0,0,0,0,0,,
7,Arjun Deshwal,Raider,u-mumba,,,,,16,78,57,76,2,2,4.75,0,11,2,0,2,0,,
6,Armaan,All Rounder,telugu-titans,,,,,4,15,9,13,1,2,3.25,0,4,1,1,1,0,,
7,Armaan,All Rounder,telugu-titans,,,,,6,9,6,9,0,0,1.5,0,2,1,0,0,0,,
6,Arun Kumar HN,Raider,haryana-steelers,,,,,2,1,1,1,0,0,0,0,0,0,0,0,0,,
7,Arun Kumar HN,Raider,haryana-steelers,,,,,2,2,1,2,0,0,0,0,0,0,0,0,0,,
7,Ashish,Raider,patna-pirates,,,,,7,5,3,5,0,0,0.71,0,1,0,0,0,0,,
2,Ashish Chhokar,Raider,bengaluru-bulls,,,,,6,13,7,12,1,1,2,0,3,0,0,0,0,,
5,Ashish Chhokar,Raider,haryana-steelers,,,,,5,12,6,9,3,3,1.8,0.6,1,1,0,0,0,,
2,Ashish Kumar,"Defender, right cover",bengaluru-bulls,,,,,5,5,2,2,2,3,0.5,0.6,1,0,1,0,0,,
3,Ashish Kumar,"Defender, right cover",bengaluru-bulls,,,,,13,32,5,7,25,25,0.88,1.92,0,0,0,0,1,,
4,Ashish Kumar,"Defender, right cover",bengaluru-bulls,,,,,14,37,11,14,17,23,1.08,1.64,5,0,6,0,1,,
5,Ashish Kumar,"Defender, right cover",bengaluru-bulls,,,,,20,32,16,17,14,15,1,0.75,4,0,1,0,1,,
6,Ashish Kumar,All Rounder,bengaluru-bulls,,,,,24,45,3,5,37,40,0.29,1.67,0,0,3,0,1,,
7,Ashish Kumar,All Rounder,bengaluru-bulls,,,,,7,6,0,1,3,5,0.17,0.71,0,0,2,0,0,,
7,Ashu Singh,"Defender, right cover",up-yoddha,,,,,18,32,0,0,30,32,0,1.78,0,0,2,0,0,,
4,Athul MS,Raider,telugu-titans,,,,,4,8,6,8,0,0,2,0,4,0,0,0,0,,
6,Athul MS,Raider,tamil-thalaivas,,,,,19,56,46,55,1,1,3.06,0.05,6,0,0,0,0,,
7,Athul MS,Raider,u-mumba,,,,,14,45,32,45,0,0,3.21,0,10,0,0,0,0,,
1,Atif Waheed,All Rounder,telugu-titans,,,,,3,1,0,0,1,1,0,0.33,0,0,0,0,0,,
6,Azad Singh,Raider,up-yoddha,,,,,9,23,14,21,2,2,2.33,0,6,1,0,0,0,,
7,Azad Singh,Raider,up-yoddha,,,,,4,6,3,6,0,0,1.5,0,0,0,0,0,0,,
5,Babu M,"Defender, left cover",haryana-steelers,,,,,2,2,0,0,2,2,0,1,0,0,0,0,0,,
1,Bajirao Hodage,"Defender, right cover",bengal-warriors,,,,,6,11,0,0,9,11,0,1.83,0,0,2,0,0,,
2,Bajirao Hodage,"Defender, right cover",bengal-warriors,,,,,7,13,0,0,13,13,0,1.86,0,0,0,0,0,,
3,Bajirao Hodage,"Defender, right cover",bengal-warriors,,,,,16,37,0,0,36,37,0,2.31,0,0,1,0,1,,
4,Bajirao Hodage,"Defender, right cover",patna-pirates,,,,,14,22,0,0,20,22,0,1.57,0,0,2,0,1,,
5,Bajirao Hodage,"Defender, right cover",dabang-delhi-kc,,,,,12,11,0,0,11,11,0,0.92,0,0,0,0,0,,
6,Bajirao Hodage,"Defender, right cover",jaipur-pink-panthers,,,,,6,1,0,0,1,1,0,0.17,0,0,0,0,0,,
1,Balbir Singh,All Rounder,jaipur-pink-panthers,,,,,8,9,7,9,0,0,1.13,0,2,0,0,0,0,,
2,Balbir Singh,All Rounder,jaipur-pink-panthers,,,,,2,1,0,1,0,0,0,0,0,0,0,0,0,,
6,Baldev Singh,"Defender, right corner",bengal-warriors,,,,,18,28,0,1,24,27,0,1.5,0,0,3,0,1,,
7,Baldev Singh,"Defender, right corner",bengal-warriors,,,,,19,56,0,0,51,56,0,2.95,0,0,5,0,6,,
7,Balram,All Rounder,dabang-delhi-kc,,,,,2,2,1,2,0,0,0,0,2,0,0,0,0,,
7,Banty,Raider,bengaluru-bulls,,,,,11,21,13,18,3,3,1.8,0.27,6,0,0,0,0,,
6,Bhanu Pratap Tomar,Raider,up-yoddha,,,,,6,9,6,9,0,0,1.5,0,1,0,0,0,0,,
5,Bhavani Rajput,Raider,tamil-thalaivas,,,,,4,3,1,3,0,0,0.75,0,1,0,0,0,0,,
2,Bhupender Singh,All Rounder,u-mumba,,,,,11,30,18,22,8,8,2.2,0.73,11,1,0,0,1,,
3,Bhupender Singh,All Rounder,u-mumba,,,,,11,12,8,11,1,1,1,0.09,10,0,0,0,0,,
5,Bhupender Singh,All Rounder,bengal-warriors,,,,,17,28,16,28,0,0,1.65,0,7,2,0,0,0,,
6,Bhupender Singh,All Rounder,bengal-warriors,,,,,4,13,6,10,2,3,2.5,0,6,1,1,0,0,,
6,Bhuvneshwar Gaur,Raider,haryana-steelers,,,,,6,6,3,6,0,0,1,0,0,0,0,0,0,,
6,C Manoj Kumar,"Defender, left cover",telugu-titans,,,,,12,14,7,10,4,4,1.11,0.33,1,0,0,0,0,,
2,C. Arun,"Defender, left cover",jaipur-pink-panthers,,,,,8,11,0,0,10,11,0,1.38,0,0,1,0,0,,
3,C. Arun,"Defender, left cover",jaipur-pink-panthers,,,,,11,18,1,1,12,17,0.25,1.55,0,0,5,0,1,,
4,C. Arun,"Defender, left cover",bengal-warriors,,,,,14,15,0,0,14,15,0,1.07,0,0,1,0,0,,
5,C. Arun,"Defender, left cover",tamil-thalaivas,,,,,20,36,0,1,30,35,0.13,1.75,0,0,5,0,1,,
6,C. Arun,"Defender, left cover",tamil-thalaivas,,,,,16,8,0,0,8,8,0,0.5,0,0,0,0,0,,
7,C. Arun,"Defender, left cover",telugu-titans,,,,,18,23,1,2,18,21,0,1.17,0,0,3,0,1,,
7,Chand Singh,"Defender, left corner",haryana-steelers,,,,,8,6,1,1,4,5,0,0.63,0,0,1,0,0,,
1,Chandran Ranjit,Raider,telugu-titans,,,,,6,6,4,6,0,0,1,0,0,0,0,0,0,,
2,Chandran Ranjit,Raider,telugu-titans,,,,,1,1,0,0,1,1,0,0,0,0,0,0,0,,
5,Chandran Ranjit,Raider,gujarat-fortunegiants,,,,,11,51,43,51,0,0,4.64,0,13,3,0,1,0,,
6,Chandran Ranjit,Raider,dabang-delhi-kc,,,,,24,158,127,153,4,5,6.38,0.21,16,3,1,3,0,,
7,Chandran Ranjit,Raider,dabang-delhi-kc,,,,,18,104,76,100,3,4,5.56,0.22,9,3,1,2,0,,
3,CPO Surjeet Singh,Raider,dabang-delhi-kc,,,,,12,68,54,68,0,0,5.67,0,6,0,0,5,0,,
4,CPO Surjeet Singh,Raider,patna-pirates,,,,,10,37,27,33,4,4,3.3,0.4,5,1,0,0,0,,
5,CPO Surjeet Singh,Raider,haryana-steelers,,,,,17,63,47,59,4,4,3.47,0.24,4,1,0,1,0,,
6,CPO Surjeet Singh,Raider,tamil-thalaivas,,,,,9,16,10,16,0,0,1.78,0,4,1,0,0,0,,
1,D. Gopu,"Defender, right and left corner",telugu-titans,,,,,15,27,4,4,20,23,0.5,1.53,0,0,3,0,0,,
2,D. Gopu,"Defender, right and left corner",telugu-titans,,,,,7,9,0,0,9,9,0,1.29,0,0,0,0,0,,
3,D. Gopu,"Defender, right and left corner",telugu-titans,,,,,2,1,0,0,1,1,0,0,0,0,0,0,0,,
4,D. Gopu,"Defender, right and left corner",dabang-delhi-kc,,,,,5,7,0,0,5,7,0,1.4,0,0,2,0,1,,
6,D. Gopu,"Defender, right and left corner",tamil-thalaivas,,,,,5,7,0,0,5,7,0,1.4,0,0,2,0,0,,
5,D. Pradap,All Rounder,tamil-thalaivas,,,,,16,29,6,9,19,20,0.6,1.25,0,0,1,0,0,,
6,D. Pradap,All Rounder,tamil-thalaivas,,,,,13,22,5,9,12,13,1.13,1,4,0,1,0,0,,
1,D. Suresh Kumar,"Defender, right cover",patna-pirates,,,,,12,28,0,0,24,28,0,2.33,0,0,4,0,4,,
2,D. Suresh Kumar,"Defender, right cover",patna-pirates,,,,,16,30,0,0,26,30,0,1.88,0,0,4,0,2,,
3,D. Suresh Kumar,"Defender, right cover",patna-pirates,,,,,12,18,0,0,16,18,0,1.5,0,0,2,0,0,,
4,D. Suresh Kumar,"Defender, right cover",dabang-delhi-kc,,,,,14,19,0,0,19,19,0,1.36,0,0,0,0,0,,
5,D. Suresh Kumar,"Defender, right cover",u-mumba,,,,,5,8,0,0,6,8,0,1.6,0,0,2,0,0,,
1,Dadaso Balaso Awad,All Rounder,dabang-delhi-kc,,,,,5,5,0,0,4,5,0,1,0,0,1,0,0,,
2,Dadaso Balaso Awad,All Rounder,dabang-delhi-kc,,,,,7,17,4,5,10,12,0.83,1.71,2,0,2,0,0,,
5,Darshan J.,"Defender, right cover",tamil-thalaivas,,,,,20,41,0,1,39,40,0,2,0,0,1,0,1,,
6,Darshan J.,"Defender, right cover",tamil-thalaivas,,,,,9,6,0,0,6,6,0,0.67,0,0,0,0,0,,
3,Darshan Kadian,Raider,patna-pirates,,,,,2,2,0,0,2,2,0,1,0,0,0,0,0,,
5,Darshan Kadian,Raider,u-mumba,,,,,16,40,24,33,4,7,2.36,0.44,10,1,3,0,0,,
6,Darshan Kadian,Raider,u-mumba,,,,,14,50,38,49,1,1,3.5,0,14,1,0,1,0,,
7,Darshan Kadian,Raider,puneri-paltan,,,,,7,8,4,7,1,1,1,0.14,1,0,0,0,0,,
5,David Shilisia J Mosambayi,Raider,haryana-steelers,,,,,2,2,1,2,0,0,1,0,0,0,0,0,0,,
6,David Shilisia J Mosambayi,Raider,jaipur-pink-panthers,,,,,4,4,1,4,0,0,1,0,0,0,0,0,0,,
2,Deepak Dhull,"Defender, left cover",bengal-warriors,,,,,8,12,0,1,10,11,0,1.38,0,0,1,0,1,,
3,Deepak Dhull,"Defender, left cover",bengal-warriors,,,,,1,1,0,0,1,1,0,0,0,0,0,0,0,,
