season,name,profile,team,total_raids,total_tackle,raid_percent_overall,tackle_percent_overall,matches_played,total_points,success_raids,raid_points,success_tackles,tackle_points,avg_raid_points,avg_tackle_points,dod_raid_points,super_raids,super_tackles,super_10s,high_5s,success_raid_percent,success_tackle_percent
2,Deepak Kumar,"Defender, left corner",bengal-warriors,,,,,4,5,0,0,4,5,0,1.25,0,0,1,0,1,,
3,Deepak Kumar,"Defender, left corner",bengal-warriors,,,,,3,4,0,0,3,4,0,1.33,0,0,1,0,0,,
1,Deepak Kumar Dahiya,Raider,bengaluru-bulls,,,,,7,21,15,19,2,2,2.71,0.29,9,0,0,0,0,,
2,Deepak Kumar Dahiya,Raider,bengaluru-bulls,,,,,2,6,3,6,0,0,3,0,4,0,0,0,0,,
3,Deepak Kumar Dahiya,Raider,bengaluru-bulls,,,,,10,37,29,37,0,0,3.7,0,20,3,0,0,0,,
4,Deepak Kumar Dahiya,Raider,bengaluru-bulls,,,,,7,13,8,12,1,1,1.71,0,5,1,0,0,0,,
5,Deepak Kumar Dahiya,Raider,haryana-steelers,,,,,16,78,61,76,2,2,4.75,0.13,38,3,0,1,0,,
6,Deepak Kumar Dahiya,Raider,puneri-paltan,,,,,11,34,26,31,2,3,2.82,0.27,3,1,1,1,0,,
3,Deepak Kumar Rathee,All Rounder,bengaluru-bulls,,,,,14,17,4,6,11,11,0.6,0.79,5,1,0,0,0,,
5,Deepak Kumar Rathee,All Rounder,haryana-steelers,,,,,6,7,3,3,3,4,0.5,0.67,1,0,1,0,0,,
2,Deepak Narwal,Raider,patna-pirates,,,,,16,61,45,57,4,4,3.56,0.25,15,1,0,0,0,,
3,Deepak Narwal,Raider,patna-pirates,,,,,9,33,21,31,1,2,3.88,0,6,0,1,1,0,,
4,Deepak Narwal,Raider,dabang-delhi-kc,,,,,6,13,8,13,0,0,2.17,0,4,1,0,0,0,,
5,Deepak Narwal,Raider,bengal-warriors,,,,,16,87,71,85,2,2,5.31,0.13,25,1,0,4,0,,
6,Deepak Narwal,Raider,patna-pirates,,,,,17,74,55,70,4,4,4.12,0.24,9,1,0,3,0,,
7,Deepak Narwal,Raider,jaipur-pink-panthers,,,,,17,56,44,55,1,1,3.24,0.06,12,0,0,1,0,,
1,Deepak Niwas Hooda,All Rounder,telugu-titans,,,,,14,89,72,87,2,2,6.21,0.14,8,3,0,3,0,,
2,Deepak Niwas Hooda,All Rounder,telugu-titans,,,,,15,96,54,60,32,36,4,2.4,8,1,4,1,3,,
3,Deepak Niwas Hooda,All Rounder,puneri-paltan,,,,,12,76,62,69,7,7,5.75,0.58,21,0,0,1,0,,
4,Deepak Niwas Hooda,All Rounder,puneri-paltan,,,,,16,130,108,126,4,4,7.88,0.25,34,2,0,2,0,,
5,Deepak Niwas Hooda,All Rounder,puneri-paltan,,,,,24,186,127,172,13,14,7.17,0.58,47,8,1,7,0,,
6,Deepak Niwas Hooda,All Rounder,jaipur-pink-panthers,,,,,22,208,162,196,11,12,8.91,0.55,23,4,1,10,1,,
7,Deepak Niwas Hooda,All Rounder,jaipur-pink-panthers,,,,,20,158,113,146,10,12,7.3,0.6,25,2,2,7,0,,
5,Deepak Yadav,"Defender, right cover",u-mumba,,,,,4,8,0,0,7,8,0,2,0,0,1,0,0,,
1,Dharmaraj Cheralathan,"Defender, right and left corner",bengaluru-bulls,,,,,16,52,8,13,34,39,1.08,2.44,3,0,5,0,2,,
2,Dharmaraj Cheralathan,"Defender, right and left corner",bengaluru-bulls,,,,,15,61,15,19,41,42,1.36,2.8,2,0,1,0,2,,
3,Dharmaraj Cheralathan,"Defender, right and left corner",telugu-titans,,,,,14,37,3,6,28,31,0.6,2.21,1,0,3,0,2,,
4,Dharmaraj Cheralathan,"Defender, right and left corner",patna-pirates,,,,,14,41,2,2,31,39,0.18,2.79,0,0,8,0,4,,
5,Dharmaraj Cheralathan,"Defender, right and left corner",puneri-paltan,,,,,18,25,0,0,24,25,0,1.39,0,0,1,0,0,,
6,Dharmaraj Cheralathan,"Defender, right and left corner",u-mumba,,,,,22,40,0,0,37,40,0,1.82,0,0,3,0,1,,
7,Dharmaraj Cheralathan,"Defender, right and left corner",haryana-steelers,,,,,17,41,1,3,34,38,0.33,2.24,0,0,3,0,1,,
6,Dharmender,Raider,gujarat-fortunegiants,,,,,4,5,2,5,0,0,1.67,0,0,1,0,0,0,,
2,Dinesh Kumar,All Rounder,bengal-warriors,,,,,8,19,17,19,0,0,2.38,0,4,0,0,0,0,,
5,Dong Geon Lee,Raider,tamil-thalaivas,,,,,17,29,24,29,0,0,1.71,0,13,0,0,0,0,,
6,Dong Geon Lee,Raider,gujarat-fortunegiants,,,,,11,31,22,31,0,0,2.82,0,0,1,0,1,0,,
7,Dong Geon Lee,Raider,u-mumba,,,,,4,10,7,10,0,0,2.5,0,4,0,0,0,0,,
1,Dong Ju Hong,All Rounder,dabang-delhi-kc,,,,,2,1,1,1,0,0,0,0,0,0,0,0,0,,
5,Dong Ju Hong,All Rounder,u-mumba,,,,,3,1,0,1,0,0,0,0,0,0,0,0,0,,
1,Dovlet Boshimov,Raider,patna-pirates,,,,,2,4,3,4,0,0,0,0,1,0,0,0,0,,
5,E Subash,All Rounder,u-mumba,,,,,2,3,0,0,2,3,0,1.5,0,0,1,0,0,,
6,E Subash,All Rounder,u-mumba,,,,,2,1,0,0,1,1,0,0,0,0,0,0,0,,
1,Ehsan Zamani Fard,"Defender, left corner",dabang-delhi-kc,,,,,8,6,3,4,2,2,0.5,0.25,0,0,0,0,0,,
5,Elangeshwaran R,All Rounder,telugu-titans,,,,,5,16,7,12,2,4,2.4,0.8,4,1,2,0,0,,
7,Elavarasan A,"Defender, left cover",jaipur-pink-panthers,,,,,3,4,0,0,3,4,0,1.33,0,0,1,0,0,,
7,Emad Sedaghatnia,Raider,puneri-paltan,,,,,2,8,5,8,0,0,4,0,0,0,0,0,0,,
1,Farhad Kamal Gharibi,"Defender, left corner",bengal-warriors,,,,,2,2,0,0,1,2,0,0,0,0,1,0,0,,
5,Farhad Rahimi Milaghardan,"Defender, right cover",telugu-titans,,,,,18,28,5,6,22,22,0.6,1.22,1,0,0,0,0,,
6,Farhad Rahimi Milaghardan,All Rounder,telugu-titans,,,,,22,47,17,22,21,25,1.29,1.14,3,0,4,0,1,,
7,Farhad Rahimi Milaghardan,All Rounder,telugu-titans,,,,,18,52,20,25,27,27,1.47,1.5,3,0,0,0,0,,
2,Fazel Atrachali,"Defender, left corner",u-mumba,,,,,5,12,1,1,9,11,0,2.2,0,0,2,0,1,,
3,Fazel Atrachali,"Defender, left corner",u-mumba,,,,,11,33,0,1,32,32,0,2.91,0,0,0,0,2,,
4,Fazel Atrachali,"Defender, left corner",patna-pirates,,,,,16,52,0,0,45,52,0,3.25,0,0,7,0,4,,
5,Fazel Atrachali,"Defender, left corner",gujarat-fortunegiants,,,,,24,57,0,0,54,57,0,2.38,0,0,3,0,4,,
6,Fazel Atrachali,"Defender, left corner",u-mumba,,,,,23,83,0,0,80,83,0,3.61,0,0,3,0,6,,
7,Fazel Atrachali,"Defender, left corner",u-mumba,,,,,18,59,1,2,54,57,0.22,3.17,0,0,3,0,2,,
2,G.S. Manikandan,"Defender, left cover",dabang-delhi-kc,,,,,13,10,0,0,9,10,0,0.77,0,0,1,0,0,,
3,G.S. Manikandan,"Defender, left cover",dabang-delhi-kc,,,,,7,1,0,0,1,1,0,0.14,0,0,0,0,0,,
1,Gangadhari Mallesh,Raider,jaipur-pink-panthers,,,,,10,16,10,13,3,3,1.63,0.3,1,0,0,0,0,,
2,Gangadhari Mallesh,Raider,jaipur-pink-panthers,,,,,10,11,2,3,6,8,0.43,0.8,3,0,2,0,0,,
3,Gangadhari Mallesh,Raider,jaipur-pink-panthers,,,,,10,10,1,1,8,9,0.17,0.9,1,0,1,0,0,,
6,Gangadhari Mallesh,Raider,jaipur-pink-panthers,,,,,6,4,1,2,1,2,0.4,0.33,1,0,1,0,0,,
6,Gaurav Kumar,Raider,u-mumba,,,,,3,2,2,2,0,0,0.67,0,0,0,0,0,0,,
1,Girish Maruti Ernak,"Defender, left corner",patna-pirates,,,,,12,25,2,2,22,23,0.33,1.92,0,0,1,0,1,,
2,Girish Maruti Ernak,"Defender, left corner",patna-pirates,,,,,13,27,0,0,26,27,0,2.08,0,0,1,0,1,,
3,Girish Maruti Ernak,"Defender, left corner",bengal-warriors,,,,,11,34,0,1,33,33,0.11,3,0,0,0,0,3,,
4,Girish Maruti Ernak,"Defender, left corner",bengal-warriors,,,,,12,25,0,0,23,25,0,2.08,0,0,2,0,1,,
5,Girish Maruti Ernak,"Defender, left corner",puneri-paltan,,,,,21,69,1,5,61,64,0.45,3.05,1,1,3,0,5,,
6,Girish Maruti Ernak,"Defender, left corner",puneri-paltan,,,,,20,57,0,1,52,56,0.25,2.8,0,0,4,0,4,,
7,Girish Maruti Ernak,"Defender, left corner",puneri-paltan,,,,,15,32,0,1,28,31,0,2.07,0,0,3,0,1,,
3,Gnanasekaran M,"Defender, right corner",dabang-delhi-kc,,,,,8,7,3,5,1,2,1,0.25,0,0,1,0,0,,
1,Gokul Shitole,"Defender, right corner",jaipur-pink-panthers,,,,,3,2,0,0,2,2,0,0.67,0,0,0,0,0,,
5,Gulveer Singh,Raider,up-yoddha,,,,,4,3,1,3,0,0,0.75,0,0,0,0,0,0,,
1,Gurchet Singh,,bengaluru-bulls,,,,,4,4,1,1,3,3,0.25,0.75,0,0,0,0,0,,
7,Gurdeep,All Rounder,up-yoddha,,,,,2,2,0,0,2,2,0,0,0,0,0,0,0,,
1,Gurpreet Singh,"Defender, right corner",bengaluru-bulls,,,,,16,27,1,2,24,25,0,1.56,1,0,1,0,1,,
2,Gurpreet Singh,"Defender, right corner",bengaluru-bulls,,,,,2,1,0,0,1,1,0,0,0,0,0,0,0,,
1,Gurvinder Singh,Raider,patna-pirates,,,,,7,13,6,9,3,4,1.8,0.57,3,0,1,0,0,,
2,Gurvinder Singh,Raider,patna-pirates,,,,,16,49,34,44,5,5,2.93,0.31,19,1,0,1,0,,
3,Gurvinder Singh,Raider,patna-pirates,,,,,5,6,2,4,2,2,0.8,0,1,0,0,0,0,,
4,Gurvinder Singh,Raider,u-mumba,,,,,6,4,4,4,0,0,0.67,0,2,0,0,0,0,,
5,Gurvinder Singh,Raider,bengaluru-bulls,,,,,9,24,10,17,7,7,1.89,0.78,5,1,0,0,0,,
5,Gurvinder Singh,"Defender, left cover",up-yoddha,,,,,5,5,0,0,5,5,0,1,0,0,0,0,0,,
7,Gurvinder Singh,Raider,gujarat-fortunegiants,,,,,2,4,3,4,0,0,2,0,0,0,0,0,0,,
2,Hadi Oshtorak,All Rounder,telugu-titans,,,,,4,7,0,0,6,7,0,1.75,0,0,1,0,1,,
3,Hadi Oshtorak,All Rounder,patna-pirates,,,,,10,18,0,0,17,18,0,1.8,0,0,1,0,0,,
4,Hadi Oshtorak,All Rounder,patna-pirates,,,,,7,13,0,1,9,12,0,1.71,0,0,3,0,1,,
5,Hadi Oshtorak,All Rounder,u-mumba,,,,,16,20,0,0,17,20,0,1.25,0,0,3,0,0,,
6,Hadi Oshtorak,All Rounder,gujarat-fortunegiants,,,,,13,18,4,6,12,12,1.2,0.92,3,0,0,0,0,,
7,Hadi Oshtorak,All Rounder,patna-pirates,,,,,19,43,4,8,29,35,0.62,1.84,0,0,6,0,1,,
4,Hadi Tajik,"Defender, right corner",dabang-delhi-kc,,,,,1,1,0,0,1,1,0,0,0,0,0,0,0,,
5,Hadi Tajik,"Defender, right corner",up-yoddha,,,,,9,9,2,4,5,5,0.5,0.56,1,0,0,0,0,,
7,Hadi Tajik,"Defender, right corner",puneri-paltan,,,,,12,17,1,1,15,16,0.33,1.33,0,0,1,0,0,,
3,Hardeep Duhan,"Defender, right corner",bengaluru-bulls,,,,,1,1,0,0,1,1,0,0,0,0,0,0,0,,
7,Harendra Kumar,"Defender, left cover",u-mumba,,,,,16,17,0,0,16,17,0,1.06,0,0,1,0,1,,
5,Harish Naik,Raider,bengaluru-bulls,,,,,14,24,20,24,0,0,1.71,0,6,0,0,1,0,,
6,Harish Naik,Raider,bengaluru-bulls,,,,,7,21,14,21,0,0,3,0,0,0,0,0,0,,
7,Harmanjit Singh,Raider,gujarat-fortunegiants,,,,,4,5,5,5,0,0,1.25,0,0,0,0,0,0,,
2,Harvinder Singh,"Defender, right cover",puneri-paltan,,,,,4,8,0,0,7,8,0,2,0,0,1,0,0,,
7,Himanshu,"Defender, left corner",tamil-thalaivas,,,,,3,3,1,2,1,1,0,0,0,0,0,0,0,,
2,Hyunil Park,All Rounder,telugu-titans,,,,,2,3,1,2,1,1,0,0,0,0,0,0,0,,
2,Inderpal Bishnoi,Raider,dabang-delhi-kc,,,,,2,1,1,1,0,0,0,0,0,0,0,0,0,,
2,Isac Antony,Raider,telugu-titans,,,,,7,14,9,10,4,4,1.67,0.57,1,0,0,0,0,,
3,Isac Antony,Raider,telugu-titans,,,,,2,1,1,1,0,0,0,0,1,0,0,0,0,,
7,Jadhav Balasaheb Shahaji,"Defender, right cover",puneri-paltan,,,,,18,35,0,0,28,35,0,1.94,0,0,7,0,3,,
3,Jagdeesha K.K.,"Defender, right corner",jaipur-pink-panthers,,,,,7,5,0,0,5,5,0,0.71,0,0,0,0,0,,
5,Jaideep,"Defender, left corner",patna-pirates,,,,,26,71,0,0,66,71,0,2.73,0,0,5,0,5,,
6,Jaideep,"Defender, left corner",patna-pirates,,,,,22,58,0,0,56,58,0,2.64,0,0,2,0,4,,
7,Jaideep,"Defender, left corner",patna-pirates,,,,,19,48,0,0,45,48,0,2.53,0,0,3,0,3,,
1,Jang Kun Lee,Raider,bengal-warriors,,,,,11,57,39,55,2,2,5,0.18,10,5,0,2,0,,
2,Jang Kun Lee,Raider,bengal-warriors,,,,,14,50,36,48,2,2,3.43,0.14,15,3,0,1,0,,
3,Jang Kun Lee,Raider,bengal-warriors,,,,,15,90,64,79,9,11,5.27,0.73,33,2,2,2,0,,
4,Jang Kun Lee,Raider,bengal-warriors,,,,,11,65,49,61,4,4,5.55,0.36,13,2,0,2,0,,
5,Jang Kun Lee,Raider,bengal-warriors,,,,,21,89,80,89,0,0,4.24,0,8,0,0,0,0,,
6,Jang Kun Lee,Raider,bengal-warriors,,,,,18,82,61,79,2,3,4.39,0.17,7,2,1,2,0,,
7,Jang Kun Lee,Raider,patna-pirates,,,,,13,50,37,49,1,1,3.77,0.08,14,0,0,0,0,,
1,Jasmer Singh Gulia,All Rounder,dabang-delhi-kc,,,,,14,45,7,7,36,38,0.78,2.71,2,0,2,0,0,,
2,Jasmer Singh Gulia,All Rounder,dabang-delhi-kc,,,,,3,2,0,0,2,2,0,0.67,0,0,0,0,0,,
3,Jasmer Singh Gulia,All Rounder,puneri-paltan,,,,,16,46,0,0,41,46,0,2.88,0,0,5,0,4,,
4,Jasmer Singh Gulia,All Rounder,telugu-titans,,,,,13,19,0,0,19,19,0,1.46,0,0,0,0,1,,
6,Jasmer Singh Gulia,All Rounder,bengaluru-bulls,,,,,6,4,0,0,4,4,0,0.67,0,0,0,0,0,,
1,Jasvir Singh,Raider,jaipur-pink-panthers,,,,,15,113,83,106,6,7,7.07,0.47,9,2,1,2,0,,
2,Jasvir Singh,Raider,jaipur-pink-panthers,,,,,13,74,52,64,8,10,4.92,0.77,7,0,2,0,0,,
3,Jasvir Singh,Raider,jaipur-pink-panthers,,,,,4,25,15,25,0,0,6.25,0,12,2,0,1,0,,
4,Jasvir Singh,Raider,jaipur-pink-panthers,,,,,14,88,64,82,4,6,5.86,0.43,17,0,2,2,0,,
5,Jasvir Singh,Raider,jaipur-pink-panthers,,,,,15,66,49,61,3,5,4.07,0.33,14,3,2,2,0,,
6,Jasvir Singh,Raider,tamil-thalaivas,,,,,16,46,32,42,4,4,2.8,0.25,2,0,0,0,0,,
4,Jawahar Dagar,Raider,jaipur-pink-panthers,,,,,6,2,0,0,2,2,0,0.33,0,0,0,0,0,,
5,Jawahar Dagar,Raider,patna-pirates,,,,,18,35,3,6,26,29,0.6,1.61,1,0,3,0,0,,
6,Jawahar Dagar,Defender,patna-pirates,,,,,15,23,1,3,17,20,0,1.33,0,0,3,0,2,,
7,Jawahar Dagar,Defender,patna-pirates,,,,,7,5,0,0,5,5,0,0.71,0,0,0,0,0,,
3,Jay Bahadur Bohara,Raider,dabang-delhi-kc,,,,,1,2,1,2,0,0,0,0,2,0,0,0,0,,
1,Jeeva Gopal,"Defender, left cover",u-mumba,,,,,11,6,0,0,6,6,0,0.55,0,0,0,0,0,,
2,Jeeva Gopal,"Defender, left cover",u-mumba,,,,,2,1,0,0,1,1,0,0.5,0,0,0,0,0,,
5,Jeeva Gopal,"Defender, left cover",haryana-steelers,,,,,6,5,0,0,3,5,0,0.83,0,0,2,0,0,,
1,Jeeva Kumar,"Defender, right and left cover",u-mumba,,,,,9,16,0,0,16,16,0,1.78,0,0,0,0,0,,
2,Jeeva Kumar,"Defender, right and left cover",u-mumba,,,,,13,39,1,1,31,38,0,2.92,0,0,7,0,3,,
3,Jeeva Kumar,"Defender, right and left cover",u-mumba,,,,,16,31,0,0,30,31,0,1.94,0,0,1,0,0,,
4,Jeeva Kumar,"Defender, right and left cover",u-mumba,,,,,14,26,0,0,24,26,0,1.86,0,0,2,0,0,,
5,Jeeva Kumar,"Defender, right and left cover",up-yoddha,,,,,22,44,0,0,37,44,0,2,0,0,7,0,1,,
6,Jeeva Kumar,"Defender, right and left cover",up-yoddha,,,,,19,40,0,0,36,40,0,2.11,0,0,4,0,1,,
7,Jeeva Kumar,"Defender, right and left cover",bengal-warriors,,,,,18,31,0,0,30,31,0,1.72,0,0,1,0,0,,
2,Jishnu,"Defender, right cover",telugu-titans,,,,,3,1,0,0,1,1,0,0.33,0,0,0,0,0,,
1,Jitesh Joshi,All Rounder,puneri-paltan,,,,,14,53,31,40,11,13,2.86,0.93,10,0,2,0,2,,
2,Jitesh Joshi,All Rounder,puneri-paltan,,,,,5,16,12,13,3,3,2.6,0.6,5,0,0,0,0,,
2,Joginder Singh Narwal,"Defender, left corner",bengaluru-bulls,,,,,14,30,0,0,30,30,0,2.14,0,0,0,0,0,,
4,Joginder Singh Narwal,"Defender, left corner",puneri-paltan,,,,,16,38,3,4,32,34,0.8,2.13,1,0,2,0,0,,
5,Joginder Singh Narwal,"Defender, left corner",u-mumba,,,,,8,9,0,0,9,9,0,1.13,0,0,0,0,0,,
6,Joginder Singh Narwal,"Defender, left corner",dabang-delhi-kc,,,,,22,51,0,0,47,51,0,2.32,0,0,4,0,1,,
7,Joginder Singh Narwal,"Defender, left corner",dabang-delhi-kc,,,,,19,45,0,0,41,45,0,2.37,0,0,4,0,1,,
2,K. Prapanjan,Raider,u-mumba,,,,,4,7,3,5,2,2,1.25,0,2,0,0,0,0,,
3,K. Prapanjan,Raider,u-mumba,,,,,4,2,1,2,0,0,0.5,0,1,0,0,0,0,,
4,K. Prapanjan,Raider,telugu-titans,,,,,11,12,10,12,0,0,1.09,0,9,0,0,0,0,,
5,K. Prapanjan,Raider,tamil-thalaivas,,,,,22,124,104,123,1,1,5.59,0.05,34,2,0,3,0,,
6,K. Prapanjan,Raider,gujarat-fortunegiants,,,,,22,123,95,122,1,1,5.55,0.05,23,1,0,4,0,,
7,K. Prapanjan,Raider,bengal-warriors,,,,,18,101,71,99,2,2,5.82,0.11,10,4,0,3,0,,
1,Kalimuthu Balamahendran,"Defender, left corner",puneri-paltan,,,,,14,32,8,12,14,20,1,1.43,0,1,6,0,0,,
2,Kalimuthu Balamahendran,"Defender, left corner",puneri-paltan,,,,,6,11,2,6,5,5,3,0.83,5,1,0,0,0,,
6,Kamal Singh,Raider,telugu-titans,,,,,8,15,7,13,1,2,2.17,0.25,3,0,1,0,0,,
7,Kamal Singh,Raider,telugu-titans,,,,,3,2,0,0,2,2,0,0.67,0,0,0,0,0,,
1,Kashiling Adake,Raider,dabang-delhi-kc,,,,,14,122,92,113,8,9,8.07,0.64,18,3,1,5,0,,
2,Kashiling Adake,Raider,dabang-delhi-kc,,,,,14,117,87,114,3,3,8.14,0.21,20,7,0,3,0,,
3,Kashiling Adake,Raider,dabang-delhi-kc,,,,,11,78,55,75,3,3,6.82,0.27,9,3,0,1,0,,
4,Kashiling Adake,Raider,dabang-delhi-kc,,,,,13,89,58,78,8,11,6,0.85,17,3,3,2,0,,
5,Kashiling Adake,Raider,u-mumba,,,,,20,122,81,114,7,8,5.7,0.4,27,4,1,3,0,,
6,Kashiling Adake,Raider,bengaluru-bulls,,,,,20,84,51,67,15,17,3.35,0.85,12,3,2,1,0,,
2,Kazuhiro Takano,All Rounder,jaipur-pink-panthers,,,,,2,1,1,1,0,0,0,0,0,0,0,0,0,,
2,Kedar Lal,Raider,bengal-warriors,,,,,9,13,7,12,1,1,1.33,0,9,1,0,0,0,,
6,Krushna Madane,Defender,telugu-titans,,,,,6,12,1,1,11,11,0,1.83,0,0,0,0,0,,
7,Krushna Madane,Defender,telugu-titans,,,,,9,6,0,0,6,6,0,0.67,0,0,0,0,0,,
5,Kuldeep,Raider,bengal-warriors,,,,,5,2,0,0,2,2,0,0,0,0,0,0,0,,
1,Kuldeep Singh,"Defender, left corner",patna-pirates,,,,,3,5,0,0,4,5,0,1.67,0,0,1,0,0,,
2,Kuldeep Singh,All Rounder,jaipur-pink-panthers,,,,,14,62,20,28,30,34,2,2.43,6,1,4,0,2,,
3,Kuldeep Singh,All Rounder,jaipur-pink-panthers,,,,,10,21,5,7,11,14,0.7,1.4,1,0,3,0,1,,
3,Kuldeep Singh,All Rounder,jaipur-pink-panthers,,,,,10,21,5,7,11,3,0.7,1.4,1,0,3,0,1,,
3,Kuldeep Singh,All Rounder,jaipur-pink-panthers,,,,,10,21,5,7,3,14,0.7,1.4,1,0,3,0,1,,
3,Kuldeep Singh,All Rounder,jaipur-pink-panthers,,,,,10,21,5,7,3,3,0.7,1.4,1,0,3,0,1,,
3,Kuldeep Singh,"Defender, left corner",dabang-delhi-kc,,,,,1,3,5,7,11,14,0.7,1.4,1,0,3,0,1,,
3,Kuldeep Singh,"Defender, left corner",dabang-delhi-kc,,,,,1,3,5,7,11,3,0.7,1.4,1,0,3,0,1,,
3,Kuldeep Singh,"Defender, left corner",dabang-delhi-kc,,,,,1,3,5,7,3,14,0.7,1.4,1,0,3,0,1,,
3,Kuldeep Singh,"Defender, left corner",dabang-delhi-kc,,,,,1,3,5,7,3,3,0.7,1.4,1,0,3,0,1,,
4,Kuldeep Singh,All Rounder,patna-pirates,,,,,15,42,7,8,29,34,0.57,2.27,0,0,5,0,2,,
5,Kuldeep Singh,All Rounder,u-mumba,,,,,20,47,7,16,25,31,1.23,1.55,0,1,6,0,1,,
5,Kuldeep Singh,"Defender, left corner",bengaluru-bulls,,,,,16,32,0,0,30,32,0,2,0,0,2,0,3,,
5,Kuldeep Singh,All Rounder,haryana-steelers,,,,,5,8,0,1,6,7,0,1.4,0,0,1,0,1,,
6,Kuldeep Singh,Defender,haryana-steelers,,,,,22,49,0,0,45,49,0,2.23,0,0,4,0,2,,
6,Kuldeep Singh,All Rounder,patna-pirates,,,,,7,10,0,0,8,10,0,1.43,0,0,2,0,0,,
7,Kuldeep Singh,Defender,haryana-steelers,,,,,9,8,0,0,8,8,0,0.89,0,0,0,0,0,,
6,Lalit Chaudhary,Raider,gujarat-fortunegiants,,,,,3,7,1,3,3,4,1,0,0,0,1,0,0,,
7,Lalit Chaudhary,Raider,gujarat-fortunegiants,,,,,4,5,1,2,2,3,0.5,0,0,0,1,0,0,,
6,Lokesh Kaushik,Raider,jaipur-pink-panthers,,,,,6,4,2,2,2,2,0.4,0,0,0,0,0,0,,
7,M. Abishek,"Defender, right cover",tamil-thalaivas,,,,,6,8,0,0,8,8,0,1.33,0,0,0,0,0,,
5,M. Thivakaran,Raider,tamil-thalaivas,,,,,9,16,11,14,2,2,1.56,0,8,0,0,0,0,,
5,Mahender Singh,"Defender, left cover",bengaluru-bulls,,,,,22,58,1,1,52,57,0,2.59,0,0,5,0,3,,
6,Mahender Singh,"Defender, left cover",bengaluru-bulls,,,,,24,63,0,0,62,63,0,2.63,0,0,1,0,6,,
7,Mahender Singh,"Defender, left cover",bengaluru-bulls,,,,,16,46,0,0,39,46,0,2.88,0,0,7,0,3,,
1,Mahendra Ganesh Rajput,Raider,bengal-warriors,,,,,8,21,17,21,0,0,2.63,0,2,0,0,0,0,,
2,Mahendra Ganesh Rajput,Raider,bengal-warriors,,,,,12,56,37,55,1,1,4.58,0.08,18,3,0,2,0,,
3,Mahendra Ganesh Rajput,Raider,bengal-warriors,,,,,8,26,17,19,5,7,2.38,0.88,12,0,2,0,0,,
5,Mahendra Ganesh Rajput,Raider,gujarat-fortunegiants,,,,,17,62,43,57,5,5,3.35,0.29,15,3,0,0,0,,
6,Mahendra Ganesh Rajput,Raider,gujarat-fortunegiants,,,,,13,30,18,28,2,2,2.15,0.15,0,3,0,0,0,,
1,Mahesh Goud,Raider,bengal-warriors,,,,,13,59,40,51,8,8,3.92,0.62,5,1,0,0,0,,
2,Mahesh Goud,Raider,bengal-warriors,,,,,1,3,3,3,0,0,3,0,2,0,0,0,0,,
